Description,Accuracy,Precision,Recal,F1-Score,AUC,TN,TP,FN,FP,Experiment config,Model config
DT train(NC_group_I_model_6_depth_3_configuration_93),0.5166066627061667,0.058894419701336125,0.7104930467762326,0.10877243915420719,0.6474385355115695,204166,12364,5038,197571,configuration_93,model_6_depth_3
DT test(NC_group_I_model_6_depth_3_configuration_93),0.516093970481675,0.061095812363498245,0.7096845356276197,0.11250612016506958,0.6483478452797018,50913,3217,1316,49438,configuration_93,model_6_depth_3
DT train(NC_group_II_model_6_depth_3_configuration_93),0.4201708741014317,0.05519917043532432,0.8045052292839904,0.10330997789904402,0.618229557060086,162110,14000,3402,239627,configuration_93,model_6_depth_3
DT test(NC_group_II_model_6_depth_3_configuration_93),0.4222379009191106,0.05758881366096934,0.8049856607103464,0.10748792270531402,0.6145937367165317,40637,3649,884,59714,configuration_93,model_6_depth_3
DT train(NC_group_III_model_6_depth_3_configuration_93),0.37429826382178705,0.05329373216670437,0.8393288127801403,0.1002236952255479,0.6042816352914717,142277,14606,2796,259460,configuration_93,model_6_depth_3
DT test(NC_group_III_model_6_depth_3_configuration_93),0.3735841501086915,0.05510299080647038,0.8356496801235385,0.10338851208428292,0.6023955134332672,35395,3788,745,64956,configuration_93,model_6_depth_3
DT train(DI_group_I_model_6_depth_3_configuration_93),0.8937440801261634,0.07605774639085057,0.1398689805769452,0.09853453161687313,0.5555436019315978,372169,2434,14968,29568,configuration_93,model_6_depth_3
DT test(DI_group_I_model_6_depth_3_configuration_93),0.8923000648335304,0.07704815509693559,0.1358923450253695,0.09833971902937422,0.5557654721053302,92972,616,3917,7379,configuration_93,model_6_depth_3
DT train(NC_group_I_TO_III_AND_DI_group_I_model_6_depth_3_configuration_93),0.4810504391144704,0.05783831081021362,0.7520974600620618,0.10741604018252848,0.6496695462613067,188539,13088,4314,213198,configuration_93,model_6_depth_3
DT test(NC_group_I_TO_III_AND_DI_group_I_model_6_depth_3_configuration_93),0.48136036001678045,0.06025116410328771,0.7535848224134127,0.11158111352463701,0.6501921713862218,47071,3416,1117,53280,configuration_93,model_6_depth_3
test ensemble_model_6_depth_3_configuration_93,0.9130181915258762,0.08797127468581688,0.10809618354290756,0.09700089082450755,N/A,95271,490,4043,5080,,
