Description,Accuracy,Precision,Recal,F1-Score,AUC,TN,TP,FN,FP,Experiment config,Model config
TRAIN,0.6063358456263912,0.057761451616769335,0.5539018503620273,0.10461368150294661,0.600781757871311,244500,9639,7763,157237,configuration_27,model_6_depth_3
TEST,0.606212577704893,0.05945220579425367,0.5473196558570483,0.10725402040463426,0.5966822469017271,61101,2481,2052,39250,configuration_27,model_6_depth_3
TRAIN,0.5215620593645545,0.059419327520834536,0.7096310768877141,0.10965679527594015,0.6470174074878026,206258,12349,5053,195479,configuration_28,model_6_depth_3
TEST,0.5210995004004424,0.061660655360294685,0.7090227222589897,0.11345464814586019,0.6476382743251092,51441,3214,1319,48910,configuration_28,model_6_depth_3
TRAIN,0.4810504391144704,0.05783831081021362,0.7520974600620618,0.10741604018252848,0.6496695462613067,188539,13088,4314,213198,configuration_87,model_6_depth_3
TEST,0.48136036001678045,0.06025116410328771,0.7535848224134127,0.11158111352463701,0.6501921713862218,47071,3416,1117,53280,configuration_87,model_6_depth_3
TRAIN,0.11686337945168548,0.04355184737573529,0.967072750258591,0.08335004890853485,0.5239793334269289,32153,16829,573,369584,configuration_30,model_6_depth_3
TEST,0.11815910911101789,0.04531450312228609,0.9669093315684977,0.08657179256742743,0.5238241194541068,8010,4383,150,92341,configuration_30,model_6_depth_3
TRAIN,0.12682666132237755,0.04440192288087078,0.9760947017584186,0.0849399804477026,0.5593403467388618,36172,16986,416,365565,configuration_29_combined,model_6_depth_3
TEST,0.12786506998207545,0.04628953136415823,0.9783807632914184,0.08839679897950033,0.5579074804594488,8976,4435,98,91375,configuration_29_combined,model_6_depth_3
TRAIN,0.525551189462207,0.05974748160944081,0.7075623491552695,0.11019034749380274,0.650194721082703,207966,12313,5089,193771,configuration_93,model_6_depth_3
TEST,0.5250943899927539,0.0620248021822825,0.7072578866093095,0.1140478816121803,0.650211211108748,51868,3206,1327,48483,configuration_93,model_6_depth_3
