Feature Name,Score,Code Description
l987,-1.298532835,DIAG: {'Excessive and redundant skin and subcutaneous tissue'}
s52110,-1.23933372,"DIAG: {'Fracture of neck of radius, closed'}"
1tm74lanwa,-1.165197556,"INT: {'Fixation, elbow joint open approach with bone autograft using plate, screw', 'Fixation, elbow joint open approach fixation device alone using plate, screw'}"
t3100,-1.1324886,DIAG: {'Burns involving less than 10% of body surface with 0% or unspecified third degree burns'}
h809,-1.124695739,"DIAG: {'Otosclerosis, unspecified'}"
v8650,-1.071499881,DIAG: {'Driver of snowmobile injured in nontraffic land accident'}
s31700,-1.021247576,"DIAG: {'Multiple open wounds of abdomen, lower back and pelvis, uncomplicated'}"
Direct Entry,-0.9318923304,N/A
Emergency Entry,-0.8186048482,N/A
p289,-0.7875437178,"DIAG: {'Respiratory condition of newborn, unspecified'}"
t3110,-0.7799099571,DIAG: {'Burns involving 10-19% of body surface with 0% or unspecified third degree burns'}
1fj87la,-0.7626444052,"INT: {'Excision partial, tongue open approach [e.g. transoral or labiomandibular approach] no tissue used f'}"
j041,-0.7454738859,DIAG: {'Acute tracheitis'}
n8350,-0.6988774632,DIAG: {'Torsion of ovary and ovarian pedicle'}
t213,0.6862948505,DIAG: {'Burn of third degree of trunk'}
g990,0.6614672989,"DIAG: {'Autonomic neuropathy in endocrine and metabolic diseases', 'Other disorders of autonomic nervous system in other diseases classified elsewhere'}"
t212,0.6408841702,DIAG: {'Burn of second degree of trunk'}
t3101,-0.6321716213,DIAG: {'Burns involving less than 10% of body surface with less than 10% third degree burns'}
elective admission,-0.6023530882,N/A
j014,-0.5845264021,DIAG: {'Acute pansinusitis'}
t232,0.5803354107,DIAG: {'Burn of second degree of wrist and hand'}
s408,-0.5489544119,DIAG: {'Other superficial injuries of shoulder and upper arm'}
1cm89pfv0,-0.5469734623,"INT: {'Excision total, vitreous using posterior approach with gas replacement (e.g. nitrogen, perfluorocarb', 'Excision total, vitreous using posterior approach with mechanical vitrectomy with gas replacement (e'}"
1cc85laxxk,-0.5436279279,"INT: {'Transplant, cornea using homograft', 'Transplant, cornea using open approach and donor full thickness homograft'}"
s1348,-0.5383415077,DIAG: {'Other sprain and strain of cervical spine'}
r5602,-0.5338063268,DIAG: {'Simple febrile convulsions'}
urgent admission,-0.5090104255,N/A
a600,-0.5048279905,DIAG: {'Herpesviral infection of genitalia and urogenital tract'}
t3112,-0.5021653913,DIAG: {'Burns involving 10-19% of body surface with 10-19% third degree burns'}
w40,-0.5009711027,"DIAG: {'Explosion of other materials', 'Fall on same level from slipping, tripping and stumbling'}"
t3111,-0.4963709238,"DIAG: {'Burns involving 10-19% of body surface with less than 10% third degree burns', 'Burns involving less than 10% of body surface with less than 10% third degree burns'}"
Newborn,-0.480670784,N/A
s6610,-0.4738450652,DIAG: {'Laceration of flexor muscle and tendon of other finger at wrist and hand level'}
i608,-0.4685252718,"DIAG: {'Arteriovenous malformation of cerebral vessels', 'Other subarachnoid haemorrhage'}"
t252,0.457079729,DIAG: {'Burn of second degree of ankle and foot'}
e1142,-0.442120215,DIAG: {'Type 2 diabetes mellitus with autonomic neuropathy'}
m8988,-0.4270113128,"DIAG: {'Other specified disorders of bone, other site'}"
1yt59jagx,-0.426052285,"INT: {'Destruction, skin of arm using device NEC [electrocautery]'}"
s681,-0.425570189,DIAG: {'Traumatic amputation of other single finger (complete)(partial)'}
z423,-0.4246936788,DIAG: {'Follow-up care involving plastic surgery of upper extremity'}
f171,-0.4234869067,"DIAG: {'Mental and behavioural disorders due to use of tobacco, harmful use'}"
male,0.4231718715,N/A
b970,-0.4218998394,DIAG: {'Adenovirus as the cause of diseases classified to other chapters'}
f649,-0.4196978252,"DIAG: {'Gender identity disorder, unspecified'}"
k050,-0.4181708197,DIAG: {'Acute gingivitis'}
1ee87la,-0.4143507075,"INT: {'Excision partial, mandible open approach no tissue used (for defect closure)'}"
s160,-0.409568568,DIAG: {'Laceration of muscle and tendon at neck level'}
h903,-0.4056576151,"DIAG: {'Sensorineural hearing loss, bilateral'}"
5pc91gc,-0.4050996074,"INT: {'Interventions to uterus (following delivery or abortion), aspiration and curettage'}"
1we74lanw,-0.4025629972,"INT: {'Fixation, tarsal bones and intertarsal joints [hindfoot, midfoot] open approach using screw, plate a'}"
1rf51lalv,-0.4021916923,"INT: {'Occlusion, fallopian tube open approach using ligature (and transection or resection)'}"
e1042,-0.4012823802,DIAG: {'Type 1 diabetes mellitus with autonomic neuropathy'}
u99020,-0.3942209129,DIAG: {'Swimming'}
m1393,-0.3929789936,"DIAG: {'Arthritis, unspecified, forearm'}"
female,0.3897040218,N/A
s002,-0.3863526983,DIAG: {'Other superficial injuries of eyelid and periocular area'}
k0768,-0.3852833752,DIAG: {'Other disorders of temporomandibular joint'}
t210,0.3852541467,DIAG: {'Burn of unspecified degree of trunk'}
d164,-0.3826715815,DIAG: {'Benign neoplasm of bones of skull and face'}
m0004,-0.3769071256,"DIAG: {'Staphylococcal arthritis and polyarthritis, hand'}"
q668,-0.3723134326,DIAG: {'Other congenital deformities of feet'}
t3130,-0.3688290747,DIAG: {'Burns involving 30-39% of body surface with 0% or unspecified third degree burns'}
g711,-0.3666090574,DIAG: {'Myotonic disorders'}
1yt80laxxb,0.3656246889,"INT: {'Repair, skin of arm using split-thickness autograft'}"
h818,-0.3649659192,DIAG: {'Other disorders of vestibular function'}
t240,0.3637329728,"DIAG: {'Burn of unspecified degree of hip and lower limb, except ankle and foot'}"
t908,-0.357578875,DIAG: {'Sequelae of other specified injuries of head'}
d179,-0.355933818,"DIAG: {'Benign lipomatous neoplasm, unspecified'}"
g501,-0.3556976903,DIAG: {'Atypical facial pain'}
m502,-0.3555348901,DIAG: {'Other cervical disc displacement'}
1cn59laag,-0.3540626927,"INT: {'Destruction, retina using laser'}"
i510,-0.352996045,"DIAG: {'Cardiac septal defect, acquired'}"
l080,-0.349249691,DIAG: {'Pyoderma'}
1ye80laxxe,-0.3486013686,"INT: {'Repair, lip using  local flap [e.g. rotation, advancement, transposition, Zplasty, Millard]'}"
p929,-0.3464485163,"DIAG: {'Feeding problem of newborn, unspecified'}"
s52121,0.3459193327,"DIAG: {'Fracture of radius with ulna, upper end, open'}"
g632,-0.3423773282,DIAG: {'Diabetic polyneuropathy'}
i308,-0.3422480032,DIAG: {'Other forms of acute pericarditis'}
1cn59lagy,-0.3409333211,"INT: {'Destruction, retina using multiple devices', 'Destruction, retina using device NEC', 'Destruction, retina using laser'}"
s6630,0.3389841096,DIAG: {'Laceration of extensor muscle and tendon of other finger at wrist and hand level'}
s9130,-0.3334579275,"DIAG: {'Open wound of other parts of foot, uncomplicated'}"
Clinic Entry,-0.3300365589,N/A
Day Surgery Entry,-0.328741137,N/A
1je51la,-0.3277485452,"INT: {'Occlusion, carotid artery using open approach with ligation'}"
1fj87laxxe,-0.3244508007,"INT: {'Excision partial, tongue open approach [e.g. transoral or labiomandibular approach] local flap [e.g.'}"
c188,-0.323576531,DIAG: {'Overlapping malignant lesion of colon'}
1dm53lall,-0.3159883694,"INT: {'Implantation of internal device, cochlea of multi-channel cochlear implant'}"
1qm89la,-0.3159382317,"INT: {'Excision total, testis, using scrotal incision without scrotal implant'}"
u830,-0.3140569869,DIAG: {'Resistance to vancomycin'}
g4080,-0.311994679,"DIAG: {'Other epilepsy, not stated as intractable'}"
k092,-0.308986324,DIAG: {'Other cysts of jaw'}
e1141,0.3085156305,DIAG: {'Type 2 diabetes mellitus with polyneuropathy'}
n770,0.3083970409,DIAG: {'Ulceration of vulva in infectious and parasitic diseases classified elsewhere'}
z035,-0.307081673,DIAG: {'Observation for other suspected cardiovascular diseases'}
n911,-0.3069592019,DIAG: {'Secondary amenorrhoea'}
1yt78latk,0.3061469903,"INT: {'Repair by decreasing size, skin of arm using excisional technique and suction device'}"
1bb72la,-0.3055237977,"INT: {'Release, other nerves of head and neck using open approach'}"
s1191,0.3019950611,"DIAG: {'Open wound of neck, part unspecified, complicated'}"
b020,-0.3007393496,DIAG: {'Zoster encephalitis'}
h334,-0.2991700731,DIAG: {'Traction detachment of retina'}
s254,-0.2968621407,DIAG: {'Injury of pulmonary blood vessels'}
1gj77lalg,-0.2960808938,"INT: {'Bypass with exteriorization, trachea using open approach and temporary implant'}"
1us80la,-0.295227343,"INT: {'Repair, extensor tendons of finger [excludes thumb] using apposition technique [e.g. tendon sutured '}"
t131,-0.2920276087,"DIAG: {'Open wound of lower limb, level unspecified'}"
1gk87la,-0.2897847833,"INT: {'Excision partial, thymus using open approach'}"
o42121,-0.2871773892,"DIAG: {'Premature rupture of membranes, onset of labour after 24 hours. delivered, with or without mention o'}"
z428,-0.2842505821,DIAG: {'Follow-up care involving plastic surgery of other body part'}
m8684,-0.2838421598,"DIAG: {'Other osteomyelitis, hand'}"
t211,0.2834883324,DIAG: {'Burn of first degree of trunk'}
q850,-0.2775829302,DIAG: {'Neurofibromatosis (nonmalignant)'}
1tb80da,-0.2774102272,"INT: {'Repair, acromioclavicular and sternoclavicular joints endoscopic [arthroscopic] approach using appos'}"
n711,-0.2764067496,DIAG: {'Chronic inflammatory disease of uterus'}
m172,-0.2763893595,"DIAG: {'Post-traumatic gonarthrosis, bilateral'}"
1wa74lanwa,-0.2755884061,"INT: {'Fixation, ankle joint open approach with bone autograft using screw, plate and screw', 'Fixation, ankle joint open approach fixation device alone using screw, plate and screw'}"
r930,-0.2749324733,"DIAG: {'Abnormal findings on diagnostic imaging of skull and head, not elsewhere classified'}"
n802,-0.2743364028,DIAG: {'Endometriosis of fallopian tube'}
s37000,-0.2738171995,"DIAG: {'Haematoma of kidney, without open wound into cavity'}"
1vc73ja,-0.2728945579,"INT: {'Reduction, femur using closed (external) approach'}"
1mc91vb,-0.2728435466,"INT: {'Excision radical, lymph node(s), cervical without tissue modified radical neck dissection'}"
i241,-0.2719940729,"DIAG: {""Dressler's syndrome""}"
m7958,-0.2713265065,"DIAG: {'Residual foreign body in soft tissue, other site'}"
1sq03hakc,-0.2711648372,"INT: {'Immobilization, pelvis immobilization alone with percutaneous external fixator'}"
z901,-0.2701330302,DIAG: {'Acquired absence of breast(s)'}
n908,-0.2680635814,DIAG: {'Other specified noninflammatory disorders of vulva and perineum'}
m6585,-0.2679040695,"DIAG: {'Other synovitis and tenosynovitis, pelvic region and thigh'}"
1es80laxxa,-0.2652016213,"INT: {'Repair, nasal cartilage using autograft [e.g. cartilage, skin]'}"
k745,-0.2634412274,"DIAG: {'Biliary cirrhosis, unspecified'}"
z636,-0.2633547468,DIAG: {'Dependent relative needing care at home'}
x06,-0.2568846469,DIAG: {'Exposure to ignition or melting of other clothing and apparel'}
f320,-0.2568119854,DIAG: {'Mild depressive episode'}
z353,-0.2566821842,DIAG: {'Supervision of pregnancy with history of insufficient antenatal care'}
y405,-0.2554759149,DIAG: {'Aminoglycosides causing adverse effect in therapeutic use'}
g4031,-0.254523185,"DIAG: {'Generalized idiopathic epilepsy and epileptic syndromes, intractable'}"
o36031,-0.2542716096,"DIAG: {'Maternal care for rhesus isoimmunization, third trimester, delivered, with or without mention of ant'}"
f798,-0.2534682101,"DIAG: {'Unspecified mental retardation, other impairments of behaviour'}"
m2454,-0.2531484971,"DIAG: {'Contracture of joint, hand'}"
m818,-0.2509677299,DIAG: {'Other osteoporosis'}
t222,-0.2499871983,"DIAG: {'Burn of second degree of shoulder and upper limb, except wrist and hand'}"
g062,-0.2492114758,"DIAG: {'Extradural and subdural abscess, unspecified'}"
l400,-0.2491568761,DIAG: {'Psoriasis vulgaris'}
m204,-0.2473965772,DIAG: {'Other hammer toe(s) (acquired)'}
j381,-0.246126009,DIAG: {'Polyp of vocal cord and larynx'}
s43402,-0.2452609031,"DIAG: {'Sprain and strain of shoulder joint, NOS'}"
s204,-0.243255506,DIAG: {'Other superficial injuries of back wall of thorax'}
p614,-0.2427959097,"DIAG: {'Other congenital anaemias, not elsewhere classified'}"
q828,-0.2423401176,DIAG: {'Other specified congenital malformations of skin'}
1yv58laxxb,-0.2404644567,"INT: {'Procurement, skin of leg of split thickness autograft using open approach'}"
a970,0.2403724977,DIAG: {'Dengue without warning signs'}
1gw52la,-0.2400642923,"INT: {'Drainage, mediastinum using open approach'}"
n821,-0.2380813073,DIAG: {'Other female urinary-genital tract fistulae'}
u99080,-0.2375505604,DIAG: {'Target and precision sports'}
1cl89vrlm,-0.2373624386,"INT: {'Excision total, lens phacoemulsification with posterior chamber folded lens prosthesis inserted', 'Excision total, lens with posterior chamber folded lens prosthesis inserted phacoemulsification', 'Excision total, lens extracapsular phakoemulsification technique with insertion of  folded posterior'}"
1ef80lanwa,-0.2341237737,"INT: {'Repair, maxilla with mandible open approach using plate, screw device (with/without wire/mesh) with '}"
s52080,-0.2340014109,"DIAG: {'Other/multiple fractures of upper end of ulna, closed'}"
z2250,-0.2338231675,DIAG: {'Carrier of viral hepatitis B'}
s72000,-0.2337032341,"DIAG: {'Fracture of upper femoral epiphysis (separation), closed'}"
k113,-0.2334785389,DIAG: {'Abscess of salivary gland'}
h618,-0.2334219407,DIAG: {'Other specified disorders of external ear'}
i438,-0.2334173352,DIAG: {'Cardiomyopathy in other diseases classified elsewhere'}
v235,-0.2330062823,"DIAG: {'Motorcycle rider injured in collision with car, pick-up truck or van, passenger, traffic accident'}"
t293,-0.2327684662,"DIAG: {'Burns of multiple regions, at least one burn of third degree mentioned'}"
o32201,-0.2319560025,"DIAG: {'Maternal care for transverse and oblique lie, delivered, with or without mention of antepartum condi'}"
d172,-0.2315898018,DIAG: {'Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs'}
i659,-0.2311780991,DIAG: {'Occlusion and stenosis of unspecified precerebral artery'}
t542,-0.230950289,DIAG: {'Toxic effect of corrosive acids and acid-like substances'}
s62470,-0.2306166182,"DIAG: {'Multiple fractures of multiple sites of other metacarpal bones, closed'}"
v8698,-0.2300909297,DIAG: {'Unspecified occupant of other all-terrain or other off road motor vehicle injured in nontraffic acci'}
1va53lapmq,-0.2298108628,"INT: {'Implantation of internal device, hip joint open approach (direct lateral, posterolateral, posterior,', 'Implantation of internal device, hip joint open approach using combined sources of tissue (e.g. bone'}"
1vg05jh,-0.2280690113,"INT: {'Manipulation, knee joint using external approach with manual technique'}"
d369,-0.2279377083,DIAG: {'Benign neoplasm of unspecified site'}
i061,-0.2275410857,DIAG: {'Rheumatic aortic insufficiency'}
1vr72wj,-0.2274364624,"INT: {'Release, muscles of lower leg [around knee] using excisional technique [e.g. fasciectomy]'}"
t243,-0.2272776837,"DIAG: {'Burn of third degree of hip and lower limb, except ankle and foot'}"
m931,-0.2269854248,"DIAG: {""Kienböck's disease of adults""}"
k0761,-0.2263296963,DIAG: {'Articular disc disorder of the temporomandibular joint'}
d24,-0.2259390003,DIAG: {'Benign neoplasm of breast'}
y880,-0.2240575946,"DIAG: {'Sequelae of adverse effects caused by drugs, medicaments and biological substances in therapeutic us'}"
h5988,-0.2235453903,DIAG: {'Other postprocedural disorders of eye and adnexa'}
g4061,-0.2228797112,"DIAG: {'Grand mal seizures, unspecified (with or without petit mal), intractable'}"
w25,-0.2223575768,DIAG: {'Contact with sharp glass'}
c5030,-0.2223462646,DIAG: {'Malignant neoplasm of lower-inner quadrant of right breast'}
s36001,-0.222302927,DIAG: {'Subcapsular haematoma of spleen (less than 10% of surface area involvement) or capsular laceration o'}
m0086,-0.2218479736,"DIAG: {'Arthritis and polyarthritis due to other specified bacterial agents, lower leg'}"
l235,-0.2216964335,DIAG: {'Allergic contact dermatitis due to other chemical products'}
1uk52wk,-0.2216963621,"INT: {'Drainage, other interphalangeal joints of hand using open incisional approach [e.g. bursotomy]'}"
b159,-0.2213221984,DIAG: {'Hepatitis A without hepatic coma'}
e1120,-0.2212854778,DIAG: {'Type 2 diabetes mellitus with incipient diabetic nephropathy'}
1fh87laxxe,0.220999772,"INT: {'Excision partial, floor of mouth open (excisional) approach using local flap [mucosal advancement fl'}"
m4792,-0.2206336209,"DIAG: {'Spondylosis, unspecified, cervical region'}"
c3001,-0.2203130673,DIAG: {'Malignant neoplasm of other parts of nasal cavity'}
w3409,-0.2194611962,DIAG: {'Discharge from unspecified firearm'}
m8694,-0.2192782527,"DIAG: {'Osteomyelitis, unspecified, hand'}"
i970,-0.2184143422,DIAG: {'Postcardiotomy syndrome'}
1gm13ba,-0.2181017918,"INT: {'Control of bleeding, bronchus NEC using endoscopic per orifice approach'}"
1tm52wj,-0.2178083771,"INT: {'Drainage, elbow joint using open excisional approach [e.g. bursectomy]'}"
y793,-0.2177275502,"DIAG: {'Orthopaedic devices associated with adverse incidents, surgical instruments, materials and devices ('}"
o14904,-0.2166896677,"DIAG: {'Pre-eclampsia, unspecified, postpartum condition or complication'}"
k266,-0.2158480951,"DIAG: {'Duodenal ulcer, chronic or unspecified with both haemorrhage and perforation'}"
m4024,-0.2158307058,"DIAG: {'Other and unspecified kyphosis, thoracic region'}"
m1123,-0.2157883371,"DIAG: {'Other chondrocalcinosis, forearm'}"
i600,-0.2143905487,DIAG: {'Subarachnoid haemorrhage from carotid siphon and bifurcation'}
1cx74wq,-0.2140393572,"INT: {'Fixation, eyelid NEC tarsorrhaphy (temporary or permanent)'}"
1pg57bagx,-0.2137972951,"INT: {'Extraction, ureter using endoscopic per orifice approach (transurethral) and other device  [e.g. for'}"
d121,-0.2135467682,DIAG: {'Benign neoplasm of appendix'}
1df80xgxxa,-0.2131832667,"INT: {'Repair, tympanic membrane using full thickness autograft [e.g. fascia], tympanoplasty type 1'}"
1ga87baag,-0.2125393769,"INT: {'Excision partial, glottis using endoscopic per orifice approach and laser'}"
o64801,-0.2123845059,"DIAG: {'Obstructed labour due to other malposition and malpresentation, delivered, with or without mention o'}"
m904,0.2121140997,DIAG: {'Osteonecrosis due to haemoglobinopathy'}
d692,-0.2119632486,DIAG: {'Other nonthrombocytopenic purpura'}
b977,-0.2117164306,DIAG: {'Papillomavirus as the cause of diseases classified to other chapters'}
1yu80laxxg,0.2116539025,"INT: {'Repair, skin of hand using pedicled (distant) flap'}"
f959,-0.2112997478,"DIAG: {'Tic disorder, unspecified'}"
v280,-0.2112277019,"DIAG: {'Motorcycle rider injured in noncollision transport accident, driver, nontraffic accident'}"
z4502,-0.2103834268,DIAG: {'Adjustment and management of cardiac resynchronization therapy device'}
u99030,0.2102408026,DIAG: {'Motor boat sports'}
q396,-0.2097357676,DIAG: {'Diverticulum of oesophagus'}
d390,-0.2091199418,DIAG: {'Neoplasm of uncertain or unknown behaviour of uterus'}
e268,-0.2088889931,DIAG: {'Other hyperaldosteronism'}
1mc87laxxg,-0.2085347567,"INT: {'Excision partial, lymph node(s), cervical using open approach with pedicled distant flap'}"
d738,-0.2082126768,DIAG: {'Other diseases of spleen'}
o69801,-0.2077593021,"DIAG: {'Labour and delivery complicated by other cord complications, delivered, with or without mention of a'}"
b084,-0.2075291679,DIAG: {'Enteroviral vesicular stomatitis with exanthem'}
m8690,-0.2074623028,"DIAG: {'Osteomyelitis, unspecified, multiple sites'}"
1yt80laxxe,-0.2070724978,"INT: {'Repair, skin of arm using local flap [e.g. rotational, V Y advancement, transposition, Z plasty, Cut'}"
s250,-0.2064898943,DIAG: {'Injury of thoracic aorta'}
o41131,-0.2061923006,"DIAG: {'Infection of amniotic sac and membranes, third trimester, delivered, with or without mention of ante'}"
1ed80lanw,-0.2059790366,"INT: {'Repair, maxilla open approach using plate, screw device (with/without wire/mesh) no tissue used in r'}"
f952,-0.2058327408,DIAG: {'Combined vocal and multiple motor tic disorder [de la Tourette]'}
n082,-0.2057873651,DIAG: {'Glomerular disorders in blood diseases and disorders involving the immune mechanism'}
t404,-0.2057346281,DIAG: {'Poisoning by other synthetic narcotics'}
s251,-0.2056284694,DIAG: {'Injury of innominate or subclavian artery'}
1oa52da,-0.2051694966,"INT: {'Drainage, liver using endoscopic [laparoscopic] approach'}"
c060,-0.2051683722,DIAG: {'Malignant neoplasm of cheek mucosa'}
alc_days,-0.2049846645,N/A
f139,-0.204517723,"DIAG: {'Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavi'}"
s42100,-0.204483319,"DIAG: {'Fracture of acromial process of scapula, closed'}"
m705,-0.2030996372,DIAG: {'Other bursitis of knee'}
1ot87da,-0.202279061,"INT: {'Biopsy, abdominal cavity using endoscopic [laparoscopic] approach', 'Excision partial, abdominal cavity using endoscopic [laparoscopic] approach'}"
h025,-0.2018036521,DIAG: {'Other disorders affecting eyelid function'}
n0831,-0.2018016995,"DIAG: {'Glomerular disorders in diabetes mellitus, chronic kidney disease, stage 1'}"
k083,-0.2013068266,DIAG: {'Retained dental root'}
t221,-0.2008572095,"DIAG: {'Burn of first degree of shoulder and upper limb, except wrist and hand'}"
